Year,Student,Working holiday,Visitor,Temporary Resident (Skilled Employment),Other temporary visas,Total,Skill,Family,Special Eligibility and humanitarian,Other permanent visas,Total,New Zealand citizen,Australian citizen,All other visas,Total other,Total NOM arrivals
2015,126,50.9,54.2,31.6,8,270.7,42.6,31.9,9.4,5.8,89.7,31.5,73.1,8.3,112.8,473.3
2016,137.9,49.6,68,31.2,9.1,295.8,43.7,31.3,22.6,6.2,103.7,34.9,78.7,6.6,120.2,519.7
2017,151.9,50.6,77.2,30.3,11.1,321.1,45.2,28.1,14.9,6.3,94.5,30.4,78.8,6.6,115.8,531.4
2018,166.6,50.4,78.3,29.4,13.2,337.9,40.9,25.2,12.7,6.3,85.1,30.8,76,4.6,111.4,534.4
2019,150.7,52.1,132.4,31.9,18.9,385.9,37.1,24.9,18.2,11.1,91.3,30.4,95,5.4,130.8,607.9
2020,42.6,15.5,40.3,11.1,8.9,118.3,15.5,12.4,3.7,5.9,37.4,12,66.7,1,79.7,235.4
2021,29.2,1.7,11.5,12.9,22,77.3,21.6,23.3,3.4,7.3,55.5,19.2,61.6,0.9,81.6,214.4
2022,237.7,56.9,97.2,40.5,40.2,472.4,30.9,24.2,11,11,77,35.9,66.1,0,101.9,651.4
2023,267.1,78.7,99.7,50.5,48.3,544.3,39.3,22.5,15.1,10.3,87.2,48,59.5,0,107.5,739
2024,163.4,77.8,68.4,46.9,30.1,386.6,43.2,24.9,16.4,8.9,93.5,52.4,62.4,0,114.8,594.9
