Year,Student,Working holiday,Visitor,Temporary Resident (Skilled Employment),Other temporary visas,Total,Skill,Family,Special Eligibility and humanitarian,Other permanent visas,Total,New Zealand citizen,Australian citizen,All other visas,Total other,Total NOM departures
2015,43.7,28,15.5,20.3,21.4,128.9,8.9,6.1,0.2,6.4,21.5,27.7,99.5,8.9,136.1,286.5
2016,45.4,27.5,15.4,17,22.2,127.5,8.1,5.6,0.1,6.7,20.5,26.7,95,6.2,127.9,275.8
2017,51.7,23.3,22.9,15.4,26.8,140.1,8.1,5.6,0.1,6.8,20.6,24.2,92.5,12.4,129,289.7
2018,59.9,23.5,14.5,15.2,31.5,144.7,7.4,5.6,0.2,7.3,20.4,21.4,85.5,10.2,117.1,282.2
2019,98.8,26.9,32.1,16.2,38.2,212.2,9.1,7,0.1,10.7,27,24.1,83.6,13.5,121.1,360.3
2020,75.1,16.3,12.7,11.8,42.7,158.6,6.7,4.4,0.1,6.7,17.9,17.4,42.5,4,63.9,240.3
2021,37.4,6.1,17.5,9.8,45.6,116.3,6.7,5.2,0.1,8.3,20.3,14.2,53.3,1.1,68.6,205.1
2022,16,2.6,15.8,6.8,40.7,81.9,5.8,5.9,0.1,9.9,21.7,19.8,90.2,0,109.9,213.5
2023,25.4,5.6,18.1,5.9,31.8,86.9,4.8,5.7,0.2,9.4,20,14.5,87.1,0,101.6,208.4
2024,42.7,18.8,19.5,8.8,46,135.7,5.3,5,0.2,8.5,18.9,14.6,85,0,99.5,254.2
