Year,India,United Kingdom,Philippines,South Africa,Sri Lanka,China,Nepal,Ireland,Brazil,Pakistan,Republic of Korea,Italy,Zimbabwe,Colombia,Vietnam,Other,Total
2015–16,10495,8420,4181,1528,508,4024,1682,2862,609,692,1500,819,217,342,462,9909,48250
2016–17,9873,7955,4558,1346,556,4197,1577,2436,805,713,1487,1023,158,350,637,10579,48250
2017–18,5148,6335,3474,1346,381,2713,748,1511,677,449,956,1028,111,238,462,9951,35528
2018–19,7224,7256,3484,1518,487,2945,1296,1546,1216,489,961,1248,93,317,736,11196,42012
2019–20,4718,4275,2583,1145,429,2524,884,996,888,403,741,915,79,216,569,7896,29261
2020–21,4347,3419,1832,1305,431,1369,597,823,741,326,585,571,124,260,410,6363,23503
2021–22,5845,2967,2151,1487,629,1407,696,791,774,360,604,577,282,253,821,6459,26103
2022–23,8187,4324,3123,1796,1078,1676,761,1402,1081,420,894,715,385,370,723,8065,35000
2023–24,10966,4500,3368,1417,1016,2367,710,1154,933,453,844,655,328,365,1024,6725,36825
2024–25,12762,4650,3834,2240,1984,1509,1412,1343,1266,823,767,671,634,598,508,8999,44000
