Year,Refugee,Special Humanitarian Program,Offshore resettlement total,Offshore % of total Program,Onshore protection total,Onshore % of total Program,Total Humanitarian Program grants
2015–16,8284,7268,15552,88.59014525776132,2003,11.409854742238679,17555
2016–17,9653,10604,20257,92.21139839766934,1711,7.788601602330663,21968
2017–18,7909,6916,14825,91.23076923076923,1425,8.76923076923077,16250
2018–19,9451,7661,17112,91.2056283978254,1650,8.794371602174609,18762
2019–20,6422,5099,11521,87.47247741249716,1650,12.527522587502848,13171
2020–21,2053,2505,4558,76.6436858920464,1389,23.35631410795359,5947
2021–22,7233,4312,11545,86.75884872623432,1762,13.241151273765686,13307
2022–23,9760,6115,15875,88.81118881118881,2000,11.188811188811188,17875
2023–24,9762,6988,16750,83.75,3250,16.25,20000
2024–25,9511,6488,15999,79.995,4001,20.005,20000
