Year,Registered Nurses,Early Childhood (Pre-primary School) Teachers,Civil Engineering Professionals,Carpenters and Joiners,Architects and Landscape Architects,Civil Engineering Draftspersons and Technicians,Painting Trades Workers,Software and Applications Programmers,Chefs,Secondary School Teachers,Other
2015–16,2632,160,1054,148,303,50,26,4185,94,502,14105
2016–17,2262,188,1219,102,294,76,13,4170,92,439,12812
2017–18,1566,132,1057,41,255,52,<5,3496,84,321,12299
2018–19,981,155,822,16,199,53,<5,3460,31,271,11029
2019–20,384,30,227,5,43,12,0,987,7,54,4551
2020–21,223,6,183,0,20,11,<5,418,8,18,3196
2021–22,123,16,38,0,5,5,0,151,<5,24,2509
2022–23,5360,813,432,<5,82,173,<5,151,87,563,9605
2023–24,5278,756,741,89,173,199,111,1082,1125,548,8512
2024–25,1467,951,676,666,605,584,472,421,329,305,4712
