Year,India,China,Nepal,Pakistan,Sri Lanka,United Kingdom,Philippines,Malaysia,South Africa,Bhutan,Iran,Vietnam,Bangladesh,Ireland,Brazil,Other,Total
2015–16,8115,2556,1382,1642,1026,1611,1181,729,660,16,466,388,710,413,98,3657,24650
2016–17,8541,2189,934,1632,918,1176,1040,774,757,56,488,449,729,222,117,3743,23765
2017–18,10652,2923,917,1633,917,1192,1397,695,903,63,634,482,535,189,149,4119,27400
2018–19,9465,2611,1122,1387,818,1390,1326,472,925,61,567,538,377,160,164,3963,25346
2019–20,6149,3616,1679,674,414,1204,1330,428,758,96,589,702,364,133,127,3232,21495
2020–21,4052,2207,1669,573,268,592,789,451,158,141,202,433,183,117,135,2298,14268
2021–22,5386,2443,2737,688,444,740,995,514,224,207,265,612,258,221,197,3445,19376
2022–23,9740,4324,3367,908,834,1703,1135,716,965,244,828,708,384,277,398,4469,31000
2023–24,11064,3179,2773,1162,1406,1163,1262,628,770,315,576,527,390,416,289,4480,30400
2024–25,11355,3158,2523,2404,2010,1602,1308,815,707,672,665,569,401,382,348,4081,33000
