Year,Employer Sponsored,State/Territory Nominated,Regional,Skilled Independent,Global Talent (Independent),Business Innovation & Investment,Distinguished Talent,National Innovation,Skilled Regional,Skill stream total,Partner,Parent,Child,Other Family,Family stream total,Child stream total,Special Eligibility total,Total
2015–16,48250,24650,n/a,43994,n/a,7260,200,n/a,4196,128550,47825,8675,n/a,900,57400,3512,308,189770
2016–17,48250,23765,n/a,42422,n/a,7260,200,n/a,1670,123567,47825,7563,n/a,832,56220,3400,421,183608
2017–18,35528,27400,n/a,39137,n/a,7260,200,n/a,1574,111099,39799,7371,n/a,562,47732,3350,236,162417
2018–19,42012,25346,n/a,34247,n/a,7261,200,n/a,647,109713,39918,6805,n/a,524,47247,3248,115,160323
2019–20,29261,21495,23372,12986,4109,4420,200,n/a,n/a,95843,37118,4399,n/a,444,41961,2481,81,140366
2020–21,23503,14268,13585,7213,9584,11198,269,n/a,n/a,79620,72376,4500,n/a,496,77372,3006,54,160052
2021–22,26103,19376,18223,5864,8776,10496,225,n/a,n/a,89063,46288,4500,n/a,500,51288,3006,199,143556
2022–23,35000,31000,33944,32100,5000,5000,300,n/a,n/a,142344,40500,8500,3000,500,52500,n/a,160,195004
2023–24,36825,30400,32300,30375,5000,1900,300,n/a,n/a,137100,40720,8500,3000,500,52720,n/a,180,190000
2024–25,44000,33000,32948,16900,3975,1000,300,25,n/a,132148,40500,8500,3000,500,52500,n/a,353,185001
